region,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Non-Western,-1.2244172895097485,0.373748806298174,-1.0939963795634209,-0.6658246879374793,-0.44952699202989527
Western,0.23047524368162509,0.7267466893805274,-1.6539769692920494,0.6215078868660043,-0.2817869934513887
