B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
NIR,-0.21092868137876797,-0.5334715691361525,-0.6011827174454116,0.8049030748991808,2.496332219770648
NLD,0.43311799025424647,-0.2291725150113475,-0.17342131621157303,0.5283122360266659,2.0218408782777275
NZL,0.1774001500536756,-0.2127049084685107,-0.3920523659720065,0.11145077109068272,1.328553701737454
PAK,-1.4705386805399825,-2.025425908409568,-0.8006706861809573,-1.470930852461958,4.222879568471699
PER,-1.7857548109099366,0.13337874073921754,0.3788127012960045,-0.17470526841944284,2.4627086736646495
PHL,-1.352591666817626,-2.6094634161151213,1.0130565652723065,-0.3579468017702405,2.7560282615221117
PRI,-1.7712120397457416,0.20800138740531474,-0.7929848512235511,0.762600041290558,2.4427427120672482
ROU,-1.5393064823542795,-0.324617652614597,-0.8440860306173997,0.09251546882721427,3.0973982066569103
RUS,-0.7707367638669169,-1.3217320698543693,-0.5173843242075986,-0.2448387273042894,3.8552796738441284
SGP,-1.2374468072392248,-1.2371421006744856,0.5510906364355748,-0.6688023426696185,1.9106497504287314
SRB,-0.531494538110089,-0.24860013425019745,0.23251322272895805,-0.0820398340610671,2.246542934950833
SVK,-0.6358314042976039,-0.38961306188697464,-0.1265641715407387,0.04081737732363983,2.9724219346257628
THA,-0.9757796401031494,-1.3858941393235702,0.9623580295565931,-0.22459403764060148,2.1193888038787456
TJK,-1.1378565023435252,-3.2855841276590696,-0.6243494636229427,-0.7592053962881153,3.4509556395902132
TUN,-0.9777713916144819,0.3824751855960902,-1.2267098330424213,-1.651715083318919,3.067943728319488
TUR,-1.3323331477390594,-1.1496180171018766,-0.07140044850243844,-0.5336190195595961,0.7863748425034197
TWN,-0.6105879467393688,-0.9169198719171904,0.17748209708938445,-0.3186346157295207,2.210231440604574
UKR,-0.7045934653031226,-0.27845140770034593,0.47967965873309887,-0.7080754827451704,2.4148712548276228
URY,-0.8695071146065044,-0.7644813318734246,-0.12026719329077237,0.6458742782537469,2.2243760809720072
USA,-0.5352723585917875,-0.6711551852251757,0.24138826771048347,0.14804361454597667,2.502684696221552
UZB,-1.7988825206784562,-3.3704765751314447,0.4649476769581399,-0.45265894480346675,2.4913805760667755
VEN,-1.657680303747973,-0.04465204823713824,0.32037389807770317,0.2309724071762073,3.108812602031754
VNM,-0.6184753356838942,-2.3178467233886497,0.31339893196398516,-0.5883334176522409,-0.6329836375350959
ZWE,-1.7951288134748786,-0.8485585499318045,-1.2721692120553054,-0.4203156881959442,2.8634688695497346
