Factor,T_Statistic,P_Value
Factor_1,48.75972819735308,0.0
Factor_2,12.135786368186452,7.102330403676472e-33
Factor_3,-45.008189319868876,5.525305e-316
Factor_4,62.573071868161804,0.0
Factor_5,-17.53489709244245,1.2708358368275603e-64
