Factor,T_Statistic,P_Value
Factor_1,42.27019316498536,7.088818305714846e-288
Factor_2,-15.594035398063342,3.883729001019362e-52
Factor_3,54.59678197614628,0.0
Factor_4,20.840876977530268,2.4335857826894588e-88
Factor_5,19.058195660215073,3.4576399565702543e-75
