B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
LBY,-1.6437271352457026,1.0033312923830757,-1.6303953960556188,-1.9131314652356204,0.39823401702156824
MAC,0.4376618200209893,-0.5661551911945817,-0.7041001056077898,-0.24037893820432854,-1.2835486664933504
MAR,-1.3405233520831659,0.6867203789214639,-1.455162512281207,-1.2728548386816096,-0.13848344961734935
MDV,-1.1309654405114606,1.7555509342911906,-1.3799390714035045,-1.667368711520514,-0.2914729036366621
MEX,-2.0117901883081575,1.3654684313738985,-0.2771856071248928,0.4085396104819185,-0.5425420222524905
MMR,-1.5708462748783323,-0.3297518284631135,-1.3395846048829447,-1.8119142783182143,-4.276049504158767
MNG,-0.12319590519147648,0.5797993364034243,0.468441836571667,-0.4349011147840578,-0.30410384361853793
MYS,-1.2579405491171753,0.16928247760650011,0.5152276039171345,-0.8865286704059963,-0.7291163877480916
NGA,-2.225071005486442,-0.11402683435431535,-1.5210985636120942,-0.9769932085688963,0.38689768871768
NIC,-2.1643411605952365,1.0590834223383676,-0.6349305589594539,0.4257474471296549,-0.7862869612916976
NIR,-0.00589258900483159,0.6951597141916952,-1.6897383364671523,0.9216409801589311,-0.4500493810271096
NLD,0.9061928665793845,0.8501378844583938,-1.3698845460801017,0.8950508378478497,-0.4101181428926781
NZL,0.7076843116387947,0.7921342675979905,-1.7280333995130928,0.7053459381617363,-0.3100189847076717
PAK,-1.7674088973725277,-0.6989514195872578,-1.7255058528296958,-1.9167626113163427,0.845465759771645
PER,-1.766417329969478,1.4343796726568443,-0.7799876731065226,-0.12444023636970845,-0.3360221083418891
PHL,-1.627985597455331,-1.2392831926941852,0.1365702978092288,-0.465738657974186,-0.09417865511272537
PRI,-1.6000786397389055,1.5705208481909616,-1.608887921209166,0.7181162403246442,-0.48079391641354213
ROU,-1.460185031308767,0.9957445458243765,-1.707782319755066,-0.04588216066844302,-0.07713132025259914
RUS,-0.3126358218597949,0.2605696772009285,-0.8412266483558015,-0.6418782069579166,-0.016138330483537584
SGP,-0.9078422329726616,-0.3837875627990459,-0.8091394494778286,-0.17917073790179297,-0.023719756144700295
SRB,-0.47882283051785035,1.2651525730216797,-0.538440681595834,-0.2504686876771988,-1.1697089991167757
SVK,-0.5010247627921174,1.0089055965144076,-1.159054638805016,0.04657966076513891,-0.3005431862073429
THA,-0.9451976129959504,-0.31648096138161697,-0.21265526294505,-0.07608394784600717,-0.500534786195358
TJK,-1.3564287801356347,-1.5257129130575984,-1.037652937237075,-1.4350942712963524,-0.0699708743876507
TUN,-1.138039494399257,1.6541665910843064,-2.203661444255692,-1.750215678268313,0.14842072520267166
TUR,-1.2632298861112143,0.08807244528526412,-1.092782909249848,-0.5924865575859875,-2.227674725993636
TWN,-0.15105054799005324,0.2995719888349096,-0.8849084384298009,-0.3011549595227104,-0.5167734855247131
UKR,-0.694682348433188,1.0967043055921644,-0.788891967966801,-0.372890918434522,-0.35582215227262554
URY,-0.6856734205930075,0.32562748096857164,-1.5226300703779372,0.9120086841637739,-0.48094573743017527
USA,-0.1944442091934253,0.5855810170679069,-0.8387017147044736,0.3433675533349776,-0.02836416362293648
UZB,-1.7073266641454174,-1.8479008366496548,-0.48408050260303,-0.8092749930182213,-0.21183454347946987
VEN,-1.6332675358508382,1.3758645458196983,-0.6668983027178558,0.20687855873714978,-0.02602404267439837
VNM,-0.5364177036209395,-1.1046482932962407,-0.7015158223168324,-0.7187670896863313,-3.547323955221045
ZWE,-1.9981668158500372,0.4521212977816786,-2.4690233610689067,-0.4288214575658845,0.08920106239638742
