Factor,Mean_Difference,Std_Dev_Difference,Cohen_d
Factor_1,-1.0370409865719599,0.8870456257613991,-1.1690954292027669
Factor_2,-0.8554663219420876,1.3414569598148365,-0.6377143267124791
Factor_3,-0.15573808645175868,1.274739733345155,-0.12217245793623525
Factor_4,-0.42202699002446464,1.1957414716151085,-0.352941668448135
Factor_5,2.37732340556025,2.337344654804526,1.0171043455972766
