B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
IRN,-1.1095954022499255,-2.266320138108219,-0.5413044553634613,-1.072443897446187,2.154481315939382
IRQ,-0.49120956075798233,-0.09624179585824716,1.3781438180181882,-1.7133715351443215,1.8644222708925726
JOR,-0.21449217767055762,0.14644134306301848,-0.17656674567060385,-2.983647765600456,1.3292612935395978
JPN,0.23757639959858068,-0.01167370060662809,1.0612414387050342,-0.8675918682322702,0.755767468187654
KAZ,-1.041064574985339,-1.6917677645889437,1.5457808261297974,-1.2117853687605327,1.1065951996994028
KEN,-1.05443609073921,-0.38603270318170624,1.8770149905290399,-1.364712108028371,0.22067599353715373
KGZ,-1.5870395698644826,-1.4542684191768422,0.6192161351506607,-1.9042803618174915,1.490742424562061
KOR,-0.012421455198649633,-0.2910657855495631,2.3252973870323466,-1.823824323271113,0.5180376565078301
LBN,-0.2579445610900346,0.20365909713872302,1.4317520428357524,-1.8075893720948193,1.0631580754609469
LBY,-1.1141129618868508,-0.4341879183579453,0.2687369173168224,-2.2118371407867032,2.5075751315837977
MAC,0.049511933219074905,-1.0485064578812808,1.5412953773089746,-1.2988943560181765,-1.038179723947384
MAR,-0.5612366989766097,-0.1893171495712282,0.6441141799817525,-1.9005656766423142,0.7688266306205831
MDV,-0.39433693991855756,1.2357600792443697,1.1070046925382262,-2.6024931337945936,0.07315510176440347
MEX,-1.6882629053080316,0.5234882210121534,2.0951448186511072,-0.40769689780288026,0.6276488154551773
MMR,-0.968768699269266,-1.2375560871554108,0.809259766344923,-2.2141800086881407,-3.188275436371191
MNG,0.0017769957528912211,-0.3447745571846336,2.711748162227563,-1.0926591361621028,1.0714593753534583
MYS,-0.9929540439961997,-0.5154892564167164,2.775711713484469,-1.60439383362364,0.18936875220170862
NGA,-1.5735113174613535,-1.1477133465551848,0.7046500537073891,-1.4769915666904128,1.54440200360124
NIC,-1.8116373266336094,0.41829376114523387,1.7237801197435072,-0.4012994821008168,0.043963440152471986
NIR,0.4102359408430309,0.009016829980938893,0.48997287765263786,0.05423654539685799,0.8259819634855788
NLD,0.429599241045661,0.6490012254266175,0.9722177616229464,-0.3323793182637076,0.44314762592879
NZL,0.20896141199184387,0.462114319799981,0.5928024262033145,-0.4315621133159586,-0.0449645921996639
PAK,-1.2120278695845184,-1.7954463904799576,0.5028075640706776,-1.9954925134271373,2.7652686652694074
PER,-1.3210182709841856,0.5736510305914454,1.6806604279600013,-0.8280706519220514,0.7354441619094685
PHL,-1.1714684389624455,-2.1521565545869072,2.4293316403017964,-1.2153522288729421,0.8221795706566971
PRI,-1.3360448692364828,0.677793756758701,0.6562620975537675,-0.18586176831259554,0.25609118930465463
ROU,-1.1739598780341693,0.13751967149749042,0.5941841232562453,-0.9598668448238562,1.1078092490040223
RUS,-0.6589554407104331,-1.1645619324769831,0.3751302721836297,-1.045774214069305,2.7818430257516766
SGP,-1.3374206431992741,-0.5232328607831995,1.4462439888455227,-1.385362582822403,0.16612727682925127
SRB,-0.2851468587635989,0.31328063825946606,1.5360464260564728,-1.0644459079672068,0.4328595871645008
SVK,-0.5469299193138136,0.2397860653973837,1.2080887457214875,-0.9528626911304254,0.9232130222010403
THA,-0.7510855707525216,-1.0190921355179587,2.224651174835202,-0.8924970676566262,0.5679297222427327
TJK,-1.1971037090678815,-2.834207561838309,0.8282780747794347,-1.8155512877642568,1.6245034722644858
TUN,-0.7135297378307225,0.7532096204705233,0.10544151412585852,-2.3709955918897574,1.2693682093739156
TUR,-0.8213849405523479,-0.8089239405532124,1.1963363915813614,-1.230235153512537,-0.5419804112612814
TWN,-0.8007011539698854,-0.0781113923245306,1.4069365978032162,-1.210699243700623,0.0083127427773763
UKR,-0.5571174793041923,-0.10020960290884359,1.3004930671005193,-1.2977413388968304,1.2020933169690016
URY,-0.7280635445075873,-0.2824460144853865,0.9052251158541774,-0.04690656191486335,0.17324280786735388
USA,-0.37891357095921846,-0.19336303461433824,1.4049479789403982,-0.7855184605914869,0.9385524202809639
UZB,-1.4342395661869876,-3.1398860540282594,1.3656901332797506,-0.9882633524998639,1.221125710241309
VEN,-1.2773803781270519,0.40007384275654684,1.5176554448046227,-0.5484297551546737,1.088900178892649
VNM,-0.3165533978842111,-1.9865324130363868,1.1743373507405945,-1.2770597249836644,-2.405194594977369
ZWE,-1.3248099613399371,-0.44453389560482515,0.0334466171920437,-1.1401848506759784,0.6034978217800215
