Factor,T_Statistic,P_Value
Factor_1,55.455065375593094,0.0
Factor_2,30.249446533982873,6.117515624851315e-169
Factor_3,5.795148516294267,7.785098298107636e-09
Factor_4,16.741493302141382,2.2113005133910884e-59
Factor_5,-48.2454952521367,0.0
