region,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Non-Western,-1.2472755176863757,-0.9430139900354778,-0.08904628789004201,-0.5947104924314748,2.409285713444377
Western,-0.1183311381936895,-0.4728892807034304,-0.4471764710973512,0.3325875515202504,2.237650408577346
