,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
0,-1.6468204333341976,-0.6844933643926762,-2.4345025990865428,-0.5106234228952367,-0.5740427562290409
1,-1.0442408965524705,0.9931538837564633,-0.9756483083112582,-0.5510720688617124,-0.6531638416423734
2,-0.8148174694117823,1.5368685622005323,-0.8089772261964209,-0.6956238804389986,-0.28995934440132437
3,-1.8686728337887375,-0.8096732797311414,-1.8435634052901417,0.09404663092602,-0.9470606698398942
4,-0.5654105016986596,0.966988124819983,-1.1755630490664304,-0.14192912538660343,-0.7201397689727254
5,-0.7099716358898954,1.233013168221533,-1.0000715864621392,-0.28808128270000566,-0.37698011015296584
6,-1.58155356344651,-0.7782139916840833,-1.914161490429685,-0.12195650690686961,-0.8211241708523409
7,-0.7918786601631933,0.09966845764197566,-1.0883329459450586,-0.33286972535927783,0.9330532804565708
8,-0.4902884644883967,1.2648870313350287,-0.8993490512360562,-0.8543005728056544,0.95485262975187
9,-1.780588901897833,-0.33372073198316266,-0.9674139238989448,-0.4690913325587606,-0.38442865925652436
10,-1.18016865937441,1.3726059418235421,-0.905476421848567,-0.4458600103986672,-0.2972132801615695
11,-1.0490373298918805,1.3410894101495752,-0.46464061795762435,-1.0283965967527138,-0.04841374499812299
12,-1.7491708044164922,-0.7176917281755608,-1.6329852245199188,-0.22057216951038394,-0.5766011919976972
13,-0.690693117501583,1.0152433337377285,-1.3137582691198657,-0.35646028827443255,-0.5086582484160025
14,-0.6785521953469085,1.2569220003682717,-0.6935835566802661,-0.9060568802624963,0.07079190334701353
15,-1.595172942826885,-0.5998881328724615,-1.2746685018211208,-0.41386133151042753,-0.45442534749080526
16,-0.669975459768806,0.2916605370069229,-0.9870839958180682,-0.6476066561214884,-0.3002209185198842
17,-0.7420050134396954,1.4356842870311877,-0.45756099175353854,-0.8810270118140907,-0.14169564880100166
18,-0.8159780308241238,0.7383742510639347,-1.5288246078663126,-0.2850095273679692,-0.6515415134992838
19,-0.7123619650970453,1.3578042830133503,-0.5073458040218426,-0.6375537466619855,-0.5601935474608103
20,-1.6714639499744282,-1.065779341766891,-2.384540295429195,0.07603079319770019,-0.02577082053652039
21,-0.7068697478408864,0.6351473432622279,-1.6710199986587781,-0.05370972525088669,-0.6096009890159019
22,-0.4946503076966725,1.2400088732100898,-1.0391323889401334,-0.46801620402495575,-0.3584142363731288
23,-1.2761874857354818,-0.9271999669218811,-2.2441315096819237,-0.05383574337079281,-0.8853808780099333
24,-0.5146230461735368,-0.17240103600211165,-1.6480065963531725,-0.19032336731471172,-0.592378285490581
25,-0.22354958782224932,1.4014101193701292,-1.257274226953016,-0.9366735035717064,-0.36940747439185306
26,-0.7504704950696388,0.5783220387091746,-1.1218916816477553,-0.5553231817105873,-0.2902865255521043
27,-0.9039742891945035,1.3716068983903633,-0.5829469337396137,-0.7653408964284486,-0.13727908987624388
28,-1.3393604735505706,-0.6893654581311551,-1.616713405855338,-0.32782235142976823,-0.6133828131787161
29,-0.6942345343826318,0.7262326350398072,-1.2794242498484472,-0.27224829510978626,-0.4343910011656271
30,-0.7108925873986996,1.3933839658087728,-0.5875749064171699,-0.6846046409559481,-0.1311335507435948
31,-1.178450477138368,-0.4507592009689223,-1.3021594648552122,-0.4473963131406969,-0.5505653016247791
32,-0.6475905644002194,0.1809068854323716,-1.0428265663739265,-0.5268325811159975,-0.37301991670564666
33,-0.676045641035311,1.2856587952497205,-0.6357882201192631,-0.7106393481091899,-0.05462943908291321
34,-1.7386671589790261,-0.6141442442279782,-1.5993121406688604,-0.24830265810673174,-0.7374580277373513
35,-0.641445921111291,1.0796302413845722,-1.1563886016038825,-0.5686909938429019,-0.6089031991640244
36,-0.4084157416489259,1.448983130911122,-0.9317684234236118,-0.7566859052920605,-0.18509494590812836
37,-1.9341124589522276,-1.0453002378020855,-2.047909789705667,0.1494451096520344,0.031294921912358185
38,-0.6169273573364448,0.8351099510639544,-1.3005348552172038,-0.1635918887651005,-0.6653376315878875
39,-0.6215092418525137,1.1658992539311042,-0.7443646813082418,-0.21227863695880983,-0.4443920420473424
40,-1.7185077129295276,-0.9071803029433579,-1.513900838133261,0.05346845289218342,-0.8287274366607994
41,-0.6390859687161503,0.6163798824883884,-1.2899444362418508,-0.43223525005356095,-0.5953032056736406
42,-0.35569888215926465,1.4124479231882072,-0.825509374863038,-0.6502812986071594,-0.4283913745016808
43,-1.729171349266773,-0.6729540718008281,-0.9869541348833735,-0.3711710944506182,-0.47008301878897824
44,-0.9904436319370726,0.9668429416439129,-0.676870711702314,-0.4737162836792131,-0.4774270445491932
45,-0.9691837330100024,1.2233359564064157,-0.2120912726141703,-0.822280267652256,-0.0556939744175776
46,-1.6548507627583817,-0.7785029739051437,-1.32963879284767,-0.1569735638833631,-0.6772676451501035
47,-0.7664548403248573,0.9074047581577603,-1.1631090561304864,-0.39598811529629824,-0.42957917150804753
48,-0.792819195539561,1.2283707739132395,-0.5732625760112539,-0.7289931062956911,0.02215522108377008
49,-1.47007424032375,-0.6812071065498101,-1.238164709156375,-0.32068493548587096,-0.5626714395016359
50,-0.5490328261225218,0.4941594019602027,-0.8355449601378181,-0.7233500935277758,-0.2694434651621209
51,-0.7320681250597778,1.3570991404992492,-0.5952972260960735,-0.9682858619582476,0.013066285176284251
52,-1.4323789437794394,-0.9666197886517646,-2.092105014601708,-0.162249255801247,-0.6576703811506509
53,-0.7246065553794623,0.6645638063880055,-1.1492473028708325,-0.31561845397114413,-0.5931885636390268
54,-1.6141607773424382,-1.2076841901229793,-2.364837635755327,0.17256910041176576,0.8379991147841384
55,-0.6538860799856141,0.492484242191113,-1.6777048334418434,-0.0765543942784966,-0.5960227809597719
56,-0.4811095817228261,1.2102374148790602,-0.9190201848176549,-0.3291307046678688,-0.3848401866438154
57,-1.2795859903052442,-1.1052007485641653,-2.313569955373401,-0.03429012149984607,0.049609156651441576
58,-0.6162127462273627,0.5156183169310372,-1.5251501049551495,-0.0650132931019089,-0.6013364943788084
59,-1.2050148971124657,-0.7100709726221621,-1.3228041753281188,-0.4674641704046241,-0.4407505573359811
60,-0.7393365006191797,0.45679099878351975,-0.9768588341443396,-0.6212825770948575,-0.27192670094295945
61,-1.4991596299590721,-1.0438956749135528,-1.6608276969460396,-0.1535103196560179,-0.6332652850809785
62,-0.6282449561432504,0.6080732923801527,-1.1376338811665605,-0.4089940284060098,-0.36118592319299786
63,-0.6822421067351095,1.3314310484227714,-0.7058440297147999,-0.7690910443872462,0.028479415089749414
64,-1.079211105853926,-0.6068136322964381,-1.2648005331872534,-0.43956369515275656,-0.5357007080392322
65,-0.6418113097506507,0.19598130270375708,-1.0540688106579101,-0.5618407436974909,-0.3033500972407696
66,-1.6888309267160473,-0.6488510796025156,-1.9492823591379127,-0.2920669822008385,-0.6916152858918285
67,-0.8665870243311401,1.1388368014493453,-0.9188804421706422,-0.2429034273274705,-0.7365163910286949
68,-0.5603174394330218,1.4952305762443399,-0.9581098767965459,-0.7263374897072995,-0.29188339190510676
69,-1.9069468308705664,-0.9735514036729331,-1.8886143128978379,0.11748200177301953,-0.8798740345124296
70,-0.6050738434766062,1.0255468288086167,-1.2540936382686982,-0.15135272669906347,-0.6157444720992116
71,-0.5992938637190188,1.3640899592096307,-0.9229572184197509,-0.35174346371196236,-0.2835665020630449
72,-1.6019828992053864,-0.7778434374506137,-1.8658582246430093,-0.09019809992254034,-0.8208337394346009
73,-0.6704276409445168,0.6654190047669066,-1.2722748639147416,-0.3704726354448466,-0.4631579308518412
74,-0.4140776249870983,1.3856830081846199,-0.8915632337496991,-0.7348784672881628,-0.37715145967407737
75,-1.6600819543453087,-0.574412315843166,-1.3385419792964655,-0.467255989154768,-0.40836049543562525
76,-0.908589924682328,1.1152974117170522,-0.7877091050406243,-0.5298368867012531,-0.5600374915217758
77,-0.9146650499883053,1.3291056079867476,-0.27722601610023434,-0.7069162934206332,-0.1699250622989133
78,-1.807515420791115,-0.6759559247868019,-1.3278972517384697,-0.15691407031517257,-0.6178559995140924
79,-0.6718085642570096,0.9281067488355152,-1.300960046322929,-0.3539311153129043,-0.5033865542333839
80,-0.6520543420026096,1.2770822649718256,-0.5898890810123418,-0.8415795654759387,0.01245670043505762
81,-1.47007424032375,-0.6812071065498101,-1.238164709156375,-0.32068493548587096,-0.5626714395016359
82,-0.6688821640882537,0.28032461737089254,-0.8800180870082236,-0.6116320016655895,-0.32162163292657453
83,-0.7843001313510984,1.4573770442150085,-0.3649848834601384,-0.8584854812464384,-0.2117806582637779
84,-1.6600939887935258,-0.836201708308911,-2.386162244930781,-0.09095674163432103,-0.8001216779174547
85,-0.7227057380005778,0.6141165955349882,-1.5123993201552843,-0.24957671399105635,-0.6632885022745798
86,-0.5676463568453262,1.4168106223105423,-0.6530831392243425,-0.7020663333366194,-0.5423455542587007
87,-1.5802448095055188,-1.1784367347713418,-2.3494250838284687,0.07466978792188168,-0.033818434025717416
88,-0.6495372958317237,0.6389758094235483,-1.6653424206619627,-0.007959643506059258,-0.6235557798525687
89,-0.4771141009560117,1.4285354738553115,-0.948746194632189,-0.487086068842783,-0.4191092704140077
90,-1.2850535509632939,-1.034788385584105,-2.258764022347775,-0.04088527034056503,-0.8782343214436212
91,-0.6200707713130486,0.20070043870978566,-1.5585801549871143,-0.1756318423677013,-0.692505063128562
