,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Q37P,0.24819760659499715,0.2001557079943801,-0.06094200759318132,0.6217396668887816,-0.02575711191982158
Q38P,0.3032860739891798,0.07889961541091964,0.03296173063309498,0.5912694001533251,-0.06267692311781674
Q39P,0.24937778009309813,-0.003687276434189063,0.11485723458789175,0.4732122143642541,0.010818033764997083
Q3P,0.08321471939838658,-0.13451291924181744,0.03987541452826687,-0.29911811367754526,0.002942266188784925
Q41P,0.3839257609085306,0.043358205967506655,0.008165348593202289,0.5000567754185995,-0.0035186961132221074
Q42,0.06812356268356047,0.04860792838361859,0.1034789028450914,0.013959265862387422,0.0906948755982561
Q4P,-0.03320530802220725,0.38720691674081953,0.043395308217887806,-0.00853744470944269,0.032477397308272565
Q5P,0.5173797481179967,-0.04283109373204002,0.09039489780147393,0.0645254431922445,0.01028656371121713
Q64P,0.6320278683820514,0.25818266680499813,0.011248677643598711,0.1550034661304038,0.005679533019978555
Q66P,0.04664977835985294,0.6761470512784727,-0.10537629179421415,0.04608942981756311,0.03539434645444395
Q68P,-0.08666668847577562,0.6329898973121794,-0.001134743135315117,0.1170470875491212,0.0557663908526331
Q69P,-0.3344363645255008,0.37565609846847714,0.1740381180805037,0.18431470825818755,0.07221304129795995
Q6P,0.7191349737639976,-0.07111058362734728,0.047636275324508294,0.3180191104092888,-0.011956100037152714
Q70P,-0.2682824400464338,0.5408001973852948,0.17408501627145748,0.18993381097557485,0.03572225112010847
Q71P,-0.053772808607327145,0.7449274838257213,-0.007379956473257188,0.16885734244486647,0.08635804074396831
Q72P,-0.13400435949526784,0.7950401159941454,-0.13037916022532794,-0.03214245153701677,0.1911234051347651
Q73P,-0.0461179625890527,0.830113585237089,-0.06003302476939384,-0.053324734266008825,0.17168166641041635
Q77P,0.06086259360335067,0.6219274679547871,-0.0267712419601425,0.0027215126568576314,0.01226836230559824
Q90,0.2968477443971916,0.16303094827216985,-0.04432869000596663,-0.21600117836334237,0.2834887854497302
