,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8
0,-1.2023167634908423,-0.9684812329571264,0.898833492875589,0.7753324933190899,-0.18408355195523976,-0.47575226383510905,0.5260389387246682,0.029745278560453108
1,-1.3109048365290459,-1.0029571049532695,-0.035058430886435774,1.2999315948625796,0.3030407876813118,-0.3818207214829613,-0.2269534895632119,-0.28841054179406567
2,-1.0039635062367673,-0.8044358361489129,0.7602456807953628,1.5523912676259037,0.7281653478010572,-0.5278537698920465,-1.2371731519918632,-0.41566544784887804
3,-0.8696255946099225,-0.8208032364188258,0.1380108548200945,0.4627999197316866,0.5046594779380317,-0.3816703798427992,-1.6690580980977703,-1.0106433429263404
4,-0.5132592218112203,-1.4072495371632054,0.5830549330116854,1.4270062603532174,1.090855946792916,-0.2625498028795616,-1.4896474667622117,-0.5684946794395301
5,-1.608610817508391,-1.965090399801435,-0.19070332308918336,0.7748584032306907,0.4419199954275812,-0.07155925662692622,0.2587935059221485,0.036305316275672114
6,-1.10310913674088,-0.3955906072459525,0.24835480729448114,0.974129702433692,-0.23309147771711167,-0.477104765657338,-0.16389336424786824,0.43437193331313445
7,0.8251358013955936,-0.9342132521426554,1.3283964452547738,1.4848766035509597,-0.2226903547706889,-0.43535969367198757,-0.1369737296373336,0.08810697233964823
8,-0.8122579150690743,-0.1528396094758586,0.38078798462123364,1.4465090283996604,0.1411100007836512,-0.5391565225772073,-1.0336137564145027,-0.5664870459255684
9,-0.9063584858762954,0.24820029642154945,-0.3588560803873388,0.8210760428093983,1.166390737069337,-0.5458585707068819,-1.9170647102191156,-0.8510079865034941
10,-0.5147913229298178,0.23116454441098871,0.6275138061818792,1.3707180872593536,-0.050773941584730704,-0.8631444482008136,-1.6465942516819165,0.3486657860682284
11,-0.6383745897484022,-0.4839166101967871,-1.3334676510580215,0.4257491110461639,2.3769230577384515,-0.6035116645955066,0.17277524204617176,1.306652730713958
12,-0.4451214863253585,-1.3105121344317165,0.6390375600350081,1.436739982750191,0.20802123493182448,-0.3901802112738603,-0.7707570605579738,-0.4259380903429254
13,-0.14899988844901046,0.33248987674112446,0.7207490666400163,0.5593205663066688,-0.005441238755239274,-0.6628111714344906,-1.0992184143460164,1.4123607486126268
14,0.05627707470184388,-0.22604496587964845,0.6475483893840756,0.7922177414217101,-0.5550769625057183,-0.5804631439691408,-0.8627691735877132,-0.5674888767972405
15,0.1686694461554823,-0.008833013424837494,1.1738519534484153,0.4516413209645234,-0.13115568419599746,-0.7173966966062895,-0.8704591454225924,0.6561583967029073
16,-0.8544330476329887,-0.9617971437544154,0.7311822904218848,1.2926237828306548,1.091197336633303,-0.46426150077862677,-0.6114756063061769,-0.8520046747422385
